,description,img_url,link,price_today,page_number,price_before
0,"Apple MacBook Pro (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",https://http2.mlstatic.com/D_NQ_NP_729539-MLA48625650344_122021-V.jpg,https://www.mercadolibre.com.co/apple-macbook-pro-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial/p/MCO17828328?pdp_filters=category:MCO1652#searchVariation=MCO17828328&position=1&search_layout=stack&type=product&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,5749900.0,1,
1,"MacBook Air M1 2020 gris espacial 13.3"", Apple M1  8GB de RAM 256GB SSD, Apple M1 8-Core GPU 60 Hz 2560x1600px macOS",https://http2.mlstatic.com/D_NQ_NP_614885-MLA49588273946_042022-V.jpg,https://www.mercadolibre.com.co/macbook-air-m1-2020-gris-espacial-133-apple-m1-8gb-de-ram-256gb-ssd-apple-m1-8-core-gpu-60-hz-2560x1600px-macos/p/MCO18721006?pdp_filters=category:MCO1652#searchVariation=MCO18721006&position=2&search_layout=stack&type=product&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,4849000.0,1,
2,Macbook Pro 16 16gb 1tb M1 Pro,https://http2.mlstatic.com/D_NQ_NP_674554-MCO49296608433_032022-V.jpg,https://articulo.mercadolibre.com.co/MCO-866779268-macbook-pro-16-16gb-1tb-m1-pro-_JM?searchVariation=174274308129#searchVariation=174274308129&position=5&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,13499900.0,1,
3,Apple Macbook Pro 2022 13.3 Chip M2 8gb 256gb,https://http2.mlstatic.com/D_NQ_NP_768774-MCO50699515955_072022-V.jpg,https://articulo.mercadolibre.com.co/MCO-924082057-apple-macbook-pro-2022-133-chip-m2-8gb-256gb-_JM?searchVariation=174802502386#searchVariation=174802502386&position=6&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,6549900.0,1,
4,Nuevo Macbook Pro 2021 - 14 Pulgadas- 16 Gb Ram / 14 Nucleos,https://http2.mlstatic.com/D_NQ_NP_825932-MCO48865338147_012022-V.jpg,https://articulo.mercadolibre.com.co/MCO-870111837-nuevo-macbook-pro-2021-14-pulgadas-16-gb-ram-14-nucleos-_JM?searchVariation=174302953730#searchVariation=174302953730&position=7&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,12399000.0,1,
5,Nuevo Macbook Pro 2021 - 16 Pulgadas- 16 Gb Ram / 16 Nucleos,https://http2.mlstatic.com/D_NQ_NP_908505-MCO49140453052_022022-V.jpg,https://articulo.mercadolibre.com.co/MCO-829036279-nuevo-macbook-pro-2021-16-pulgadas-16-gb-ram-16-nucleos-_JM?searchVariation=173883011361#searchVariation=173883011361&position=8&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,13900000.0,1,
6,Macbook Pro 14 Pulgadas 2021 16gb Ram 14 Nucleos,https://http2.mlstatic.com/D_NQ_NP_614851-MCO52066421758_102022-V.jpg,https://articulo.mercadolibre.com.co/MCO-1010384391-macbook-pro-14-pulgadas-2021-16gb-ram-14-nucleos-_JM?searchVariation=175551145588#searchVariation=175551145588&position=9&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,9500000.0,1,
7,Apple Macbook Pro 16 16gb 512gb Chip M1 Pro,https://http2.mlstatic.com/D_NQ_NP_812584-MCO49296634611_032022-V.jpg,https://articulo.mercadolibre.com.co/MCO-867189947-apple-macbook-pro-16-16gb-512gb-chip-m1-pro-_JM?searchVariation=174279588438#searchVariation=174279588438&position=10&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,13200000.0,1,
8,Macbook Pro 14 M1pro 16gb 512gb,https://http2.mlstatic.com/D_NQ_NP_753105-MCO49852549151_052022-V.jpg,https://articulo.mercadolibre.com.co/MCO-889547831-macbook-pro-14-m1pro-16gb-512gb-_JM?searchVariation=174472872803#searchVariation=174472872803&position=11&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,11900000.0,1,
9,Apple Macbook Pro 2021 16  Chip M1 Pro 16gb Ram 512gb 16 Gpu,https://http2.mlstatic.com/D_NQ_NP_773705-MCO48495418022_122021-V.jpg,https://articulo.mercadolibre.com.co/MCO-840778827-apple-macbook-pro-2021-16-chip-m1-pro-16gb-ram-512gb-16-gpu-_JM?searchVariation=173996959914#searchVariation=173996959914&position=12&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,13999990.0,1,
10,Nueva Macbook Pro 2021  14 Pul 16gb Ram 1tb / Teclado Inglés,https://http2.mlstatic.com/D_NQ_NP_908198-MCO49296615024_032022-V.jpg,https://articulo.mercadolibre.com.co/MCO-858053679-nueva-macbook-pro-2021-14-pul-16gb-ram-1tb-teclado-ingles-_JM?searchVariation=174189803507#searchVariation=174189803507&position=13&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,12499900.0,1,
11,Apple Macbook Pro 14 Chip M1 Pro 16gb 1tb Space Gray,https://http2.mlstatic.com/D_NQ_NP_918220-MCO50775602259_072022-V.jpg,https://articulo.mercadolibre.com.co/MCO-927495842-apple-macbook-pro-14-chip-m1-pro-16gb-1tb-space-gray-_JM?searchVariation=174839268272#searchVariation=174839268272&position=14&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,12999900.0,1,
12,Apple Macbook Pro 2022 13.3 Chip M2 256gb 8 Ram,https://http2.mlstatic.com/D_NQ_NP_840129-MCO51459405662_092022-V.jpg,https://articulo.mercadolibre.com.co/MCO-957681192-apple-macbook-pro-2022-133-chip-m2-256gb-8-ram-_JM?searchVariation=175207710964#searchVariation=175207710964&position=15&search_layout=stack&type=item&tracking_id=e30133f6-210c-49de-bafb-93e0138d89ed,6579000.0,1,7656900.0
